date,symbol,name,failed_count,criterion,detail
2026-04-28,COLPAL,Colgate-Palmolive (India) Ltd,2,ROE,N/A
2026-04-28,COLPAL,Colgate-Palmolive (India) Ltd,2,PEG Ratio,4.10
2026-04-28,COROMANDEL,Coromandel International Ltd,2,ROE,N/A
2026-04-28,COROMANDEL,Coromandel International Ltd,2,PEG Ratio,2.26
2026-04-28,EIDPARRY,EID Parry (India) Ltd,2,ROE,N/A
2026-04-28,EIDPARRY,EID Parry (India) Ltd,2,Promoter Holding,41.5%
2026-04-28,EIHOTEL,EIH Ltd,2,ROE,N/A
2026-04-28,EIHOTEL,EIH Ltd,2,Promoter Holding,32.9%
2026-04-28,ELECON,Elecon Engineering Company Ltd,1,ROE,N/A
2026-04-28,EMCURE,Emcure Pharmaceuticals Ltd,2,ROE,N/A
2026-04-28,EMCURE,Emcure Pharmaceuticals Ltd,2,PEG Ratio,2.30
2026-04-28,ENGINERSIN,Engineers India Ltd,2,ROE,N/A
2026-04-28,ENGINERSIN,Engineers India Ltd,2,Revenue CAGR 5Y,5.0%
2026-04-28,FSL,Firstsource Solutions Ltd,2,ROE,N/A
2026-04-28,FSL,Firstsource Solutions Ltd,2,PEG Ratio,1.88
2026-04-28,FORCEMOT,Force Motors Ltd,2,ROE,N/A
2026-04-28,FORCEMOT,Force Motors Ltd,2,FCF / PAT,0.66
2026-04-28,GODFRYPHLP,Godfrey Phillips India Ltd,2,ROE,N/A
2026-04-28,GODFRYPHLP,Godfrey Phillips India Ltd,2,FCF / PAT,0.54
2026-04-28,HEG,HEG Ltd,2,ROE,N/A
2026-04-28,HEG,HEG Ltd,2,Avg ROCE (3Y),"6.1%  (hist: [11.6, 12.3, 7.6, 5.1, 5.6])"
2026-04-28,HBLENGINE,HBL Engineering Ltd,1,ROE,N/A
2026-04-28,HCLTECH,HCL Technologies Ltd,2,ROE,N/A
2026-04-28,HCLTECH,HCL Technologies Ltd,2,PEG Ratio,2.24
2026-04-28,HEXT,Hexaware Technologies Ltd,2,ROE,N/A
2026-04-28,HEXT,Hexaware Technologies Ltd,2,PEG Ratio,11.86
2026-04-28,HSCL,Himadri Speciality Chemical Ltd,2,ROE,N/A
2026-04-28,HSCL,Himadri Speciality Chemical Ltd,2,FCF / PAT,0.71
2026-04-28,HINDPETRO,Hindustan Petroleum Corporation Ltd,2,Debt / Equity,1.11
2026-04-28,HINDPETRO,Hindustan Petroleum Corporation Ltd,2,ROE,N/A
2026-04-28,HINDZINC,Hindustan Zinc Ltd,2,ROE,N/A
2026-04-28,HINDZINC,Hindustan Zinc Ltd,2,PEG Ratio,1.62
2026-04-28,HYUNDAI,Hyundai Motor India Ltd,2,ROE,N/A
2026-04-28,HYUNDAI,Hyundai Motor India Ltd,2,PEG Ratio,9.60
2026-04-28,IOC,Indian Oil Corporation Ltd,1,ROE,N/A
2026-04-28,INDUSTOWER,Indus Towers Ltd,2,ROE,N/A
2026-04-28,INDUSTOWER,Indus Towers Ltd,2,PEG Ratio,1.09
2026-04-28,JKTYRE,JK Tyre & Industries Ltd,2,ROE,N/A
2026-04-28,JKTYRE,JK Tyre & Industries Ltd,2,PEG Ratio,1.12
2026-04-28,JSWDULUX,JSW Dulux Ltd,2,ROE,N/A
2026-04-28,JSWDULUX,JSW Dulux Ltd,2,Revenue CAGR 5Y,9.2%
2026-04-28,JINDALSAW,Jindal Saw Ltd,1,ROE,N/A
2026-04-28,JSL,Jindal Stainless Ltd,1,ROE,N/A
2026-04-28,JYOTICNC,Jyoti CNC Automation Ltd,2,ROE,N/A
2026-04-28,JYOTICNC,Jyoti CNC Automation Ltd,2,PEG Ratio,1.38
2026-04-28,KPITTECH,KPIT Technologies Ltd,2,ROE,N/A
2026-04-28,KPITTECH,KPIT Technologies Ltd,2,Promoter Holding,39.4%
2026-04-28,KALYANKJIL,Kalyan Jewellers India Ltd,2,ROE,N/A
2026-04-28,KALYANKJIL,Kalyan Jewellers India Ltd,2,Avg ROCE (3Y),"17.3%  (hist: [11.9, 14.7, 15.4, 16.2, 20.2])"
2026-04-28,LINDEINDIA,Linde India Ltd,2,ROE,N/A
2026-04-28,LINDEINDIA,Linde India Ltd,2,PEG Ratio,3.32
2026-04-28,LLOYDSME,Lloyds Metals & Energy Ltd,2,Debt / Equity,1.06
2026-04-28,LLOYDSME,Lloyds Metals & Energy Ltd,2,ROE,N/A
2026-04-28,LODHA,Lodha Developers Ltd,2,ROE,N/A
2026-04-28,LODHA,Lodha Developers Ltd,2,Avg ROCE (3Y),"13.3%  (hist: [9.2, 9.5, 10.6, 14.6, 14.8])"
2026-04-28,LUPIN,Lupin Ltd,2,ROE,N/A
2026-04-28,LUPIN,Lupin Ltd,2,FCF / PAT,0.72
2026-04-28,MRPL,Mangalore Refinery And Petrochemicals Ltd,2,Debt / Equity,1.08
2026-04-28,MRPL,Mangalore Refinery And Petrochemicals Ltd,2,ROE,N/A
2026-04-28,MARICO,Marico Ltd,2,ROE,N/A
2026-04-28,MARICO,Marico Ltd,2,PEG Ratio,7.59
2026-04-28,MAZDOCK,Mazagon Dock Shipbuilders Ltd,2,ROE,N/A
2026-04-28,MAZDOCK,Mazagon Dock Shipbuilders Ltd,2,PEG Ratio,1.24
2026-04-28,NATCOPHARM,Natco Pharma Ltd,2,ROE,N/A
2026-04-28,NATCOPHARM,Natco Pharma Ltd,2,FCF / PAT,0.09
2026-04-28,NBCC,NBCC (India) Ltd,2,ROE,N/A
2026-04-28,NBCC,NBCC (India) Ltd,2,PEG Ratio,1.63
2026-04-28,NCC,NCC Ltd,2,ROE,N/A
2026-04-28,NCC,NCC Ltd,2,Promoter Holding,22.8%
2026-04-28,NMDC,NMDC Ltd,2,ROE,N/A
2026-04-28,NMDC,NMDC Ltd,2,PEG Ratio,6.06
2026-04-28,NH,Narayana Hrudayalaya Ltd,2,ROE,N/A
2026-04-28,NH,Narayana Hrudayalaya Ltd,2,FCF / PAT,-0.29
2026-04-28,NATIONALUM,National Aluminium Company Ltd,1,ROE,N/A
2026-04-28,ONGC,Oil & Natural Gas Corpn Ltd,2,ROE,N/A
2026-04-28,ONGC,Oil & Natural Gas Corpn Ltd,2,FCF / PAT,0.49
2026-04-28,OLECTRA,Olectra Greentech Ltd,2,ROE,N/A
2026-04-28,OLECTRA,Olectra Greentech Ltd,2,FCF / PAT,-1.33
2026-04-28,PETRONET,Petronet LNG Ltd,2,ROE,N/A
2026-04-28,PETRONET,Petronet LNG Ltd,2,PEG Ratio,2.64
2026-04-28,PREMIERENE,Premier Energies Ltd,2,ROE,N/A
2026-04-28,PREMIERENE,Premier Energies Ltd,2,FCF / PAT,-2.46
2026-04-28,RAILTEL,Railtel Corporation of India Ltd,2,ROE,N/A
2026-04-28,RAILTEL,Railtel Corporation of India Ltd,2,PEG Ratio,5.88
2026-04-28,REDINGTON,Redington Ltd,2,ROE,N/A
2026-04-28,REDINGTON,Redington Ltd,2,Promoter Holding,0.0%
2026-04-28,SAGILITY,Sagility Ltd,2,ROE,N/A
2026-04-28,SAGILITY,Sagility Ltd,2,Avg ROCE (3Y),"13.9%  (hist: [2.2, 11.4, 12.1, 13.4, 16.2])"
2026-04-28,SARDAEN,Sarda Energy & Minerals Ltd,2,ROE,N/A
2026-04-28,SARDAEN,Sarda Energy & Minerals Ltd,2,Avg ROCE (3Y),"15.5%  (hist: [29.6, 22.0, 15.2, 13.5, 17.7])"
2026-04-28,SUNPHARMA,Sun Pharmaceutical Industries Ltd,2,ROE,N/A
2026-04-28,SUNPHARMA,Sun Pharmaceutical Industries Ltd,2,PEG Ratio,1.14
2026-04-28,SPLPETRO,Supreme Petrochem Ltd,1,ROE,N/A
2026-04-28,TCS,Tata Consultancy Services Ltd,2,ROE,N/A
2026-04-28,TCS,Tata Consultancy Services Ltd,2,PEG Ratio,1.84
2026-04-28,TATATECH,Tata Technologies Ltd,2,ROE,N/A
2026-04-28,TATATECH,Tata Technologies Ltd,2,PEG Ratio,N/A
2026-04-28,TORNTPOWER,Torrent Power Ltd,2,ROE,N/A
2026-04-28,TORNTPOWER,Torrent Power Ltd,2,PEG Ratio,1.52
2026-04-28,TARIL,Transformers & Rectifiers India Ltd,1,ROE,N/A
2026-04-28,WAAREEENER,Waaree Energies Ltd,2,ROE,N/A
2026-04-28,WAAREEENER,Waaree Energies Ltd,2,FCF / PAT,-0.95
2026-04-28,WELCORP,Welspun Corp Ltd,2,ROE,N/A
2026-04-28,WELCORP,Welspun Corp Ltd,2,PEG Ratio,1.04
2026-04-28,ZENTEC,Zen Technologies Ltd,2,ROE,N/A
2026-04-28,ZENTEC,Zen Technologies Ltd,2,FCF / PAT,-2.59
2026-04-28,ZYDUSLIFE,Zydus Lifesciences Ltd,2,ROE,N/A
2026-04-28,ZYDUSLIFE,Zydus Lifesciences Ltd,2,FCF / PAT,0.34
2026-04-28,ECLERX,eClerx Services Ltd,1,ROE,N/A
